name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel,
translated_mwa_gleam_simple.graphml,12992,11651,11733,11651,13487,11858,13051,13098,11329,1901,72,24177,0.616666666667,7,0.054673174229,12,66,0.810810810811,0.810810810811
translated_facet_img_2-2-2_copies.graphml,36973,32164,32292,32041,39866,33996,35885,44396,32418,32408,191,65320,0.228395061728,31,0.110491883695,12,235,0.212643678161,0.212643678161
translated_dist_sagecal_sleep.graphml,89929,47105,48237,47023,90538,50273,90411,59991,47301,42289,281,95323,0.125,50,0.189346332975,8,457,0.192708333333,0.192708333333
translated_chiles_two_dev1_8-4_copies.graphml,46022,40152,40472,40691,46520,40853,46463,43958,41573,2386,244,86559,0.142307692308,8,0.100003238576,40,284,0.308333333333,0.308333333333
translated_mwa_gleam_simple_8_copies.graphml,18272,15163,15690,15163,17311,16196,18272,18209,15623,1920,96,33610,0.4625,7,0.0598656153922,16,88,0.925,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,390377,342031,608711,609024,392268,350638,391528,676295,341598,72564,2068,718467,0.0274074074074,23,0.113037653761,135,2604,0.026102292769,0.026102292769
translated_atca_attila_8_copies.graphml,15823,12347,14370,14775,19982,13321,15703,16654,12277,11116,76,24975,0.280303030303,30,0.127387387387,24,101,0.110119047619,0.110119047619
translated_atca_attila.graphml,14842,11407,12692,12791,18605,12638,13897,14984,11313,11956,66,22499,0.373737373737,30,0.129594985366,18,85,0.146825396825,0.146825396825
translated_dist_sagecal_sleep_3_copies.graphml,44667,25329,25040,25135,44703,26988,44477,29712,25177,32283,133,44716,0.25,50,0.186202210509,4,213,0.385416666667,0.385416666667
translated_dist_sagecal_sleep_2_copies.graphml,31736,19022,18927,19244,31703,20106,31736,22920,19270,23462,96,33610,0.333333333333,50,0.167943568382,3,152,0.513888888889,0.513888888889
translated_facet_img.graphml,121995,106922,114976,112512,133475,110274,120818,169342,105813,44567,655,226022,0.0497311827957,31,0.122448554457,48,834,0.0531609195402,0.0531609195402
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,130660,115826,137612,133968,131147,118896,130453,197289,115174,19183,699,242565,0.0456790123457,20,0.139855491148,90,983,0.0456790123457,0.0456790123457
translated_atca_attila_3_copies.graphml,14191,9856,10907,10907,15623,10632,15135,11806,9856,10630,51,16844,0.747474747475,30,0.114182742677,9,61,0.293650793651,0.293650793651
translated_chiles_two_dev1_4-8_copies.graphml,118316,103030,105553,105837,118111,104958,117995,135251,102896,4389,634,218760,0.0527065527066,8,0.106617712798,108,764,0.114197530864,0.114197530864
